
Year    Storms  Cat1  Cat2  Cat3  Cat4  Cat5
EP081958 UNNAMED, Start: 1958-09-06 12:00:00 End: 1958-09-13 00:00:00 Duration: 6 days 12 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
EP091958 UNNAMED, Start: 1958-09-11 00:00:00 End: 1958-09-12 12:00:00 Duration: 1 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP101958 UNNAMED, Start: 1958-09-30 00:00:00 End: 1958-10-06 12:00:00 Duration: 6 days 12 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP111958 UNNAMED, Start: 1958-10-14 12:00:00 End: 1958-10-17 00:00:00 Duration: 2 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP121958 UNNAMED, Start: 1958-10-29 00:00:00 End: 1958-10-30 06:00:00 Duration: 1 days 6 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP011959 UNNAMED, Start: 1959-06-10 00:00:00 End: 1959-06-12 12:00:00 Duration: 2 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP021959 UNNAMED, Start: 1959-06-26 00:00:00 End: 1959-06-28 00:00:00 Duration: 2 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP031959 UNNAMED, Start: 1959-07-16 00:00:00 End: 1959-07-22 00:00:00 Duration: 6 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP041959 UNNAMED, Start: 1959-07-22 00:00:00 End: 1959-07-25 12:00:00 Duration: 3 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP051959 UNNAMED, Start: 1959-07-29 00:00:00 End: 1959-07-30 00:00:00 Duration: 1 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
CP011959 DOT, Start: 1959-08-01 18:00:00 End: 1959-08-08 06:00:00 Duration: 6 days 12 hours, Max Wind: 130 knots, Min Pressure: 952 mb, Landfalls: 0
EP061959 UNNAMED, Start: 1959-08-04 12:00:00 End: 1959-08-06 00:00:00 Duration: 1 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP071959 UNNAMED, Start: 1959-08-19 18:00:00 End: 1959-08-21 12:00:00 Duration: 1 days 18 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP081959 UNNAMED, Start: 1959-08-27 00:00:00 End: 1959-08-29 00:00:00 Duration: 2 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP091959 UNNAMED, Start: 1959-09-04 00:00:00 End: 1959-09-11 12:00:00 Duration: 7 days 12 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
CP021959 PATSY, Start: 1959-09-06 06:00:00 End: 1959-09-10 12:00:00 Duration: 4 days 6 hours, Max Wind: 150 knots, Min Pressure: N/A mb, Landfalls: 0
EP101959 UNNAMED, Start: 1959-09-21 12:00:00 End: 1959-09-26 00:00:00 Duration: 4 days 12 hours, Max Wind: 75 knots, Min Pressure: 967 mb, Landfalls: 0
CP031959 WANDA, Start: 1959-09-26 00:00:00 End: 1959-09-27 12:00:00 Duration: 1 days 12 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
EP111959 UNNAMED, Start: 1959-10-19 00:00:00 End: 1959-10-21 00:00:00 Duration: 2 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP121959 UNNAMED, Start: 1959-10-22 12:00:00 End: 1959-10-28 06:00:00 Duration: 5 days 18 hours, Max Wind: 120 knots, Min Pressure: 958 mb, Landfalls: 1
EP011960 ANNETTE, Start: 1960-06-09 00:00:00 End: 1960-06-12 12:00:00 Duration: 3 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP021960 BONNY, Start: 1960-06-22 00:00:00 End: 1960-06-26 00:00:00 Duration: 4 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP031960 CELESTE, Start: 1960-07-20 00:00:00 End: 1960-07-22 18:00:00 Duration: 2 days 18 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP041960 DIANA, Start: 1960-08-17 00:00:00 End: 1960-08-20 12:00:00 Duration: 3 days 12 hours, Max Wind: 75 knots, Min Pressure: 987 mb, Landfalls: 0
EP051960 ESTELLE, Start: 1960-08-29 00:00:00 End: 1960-09-09 12:00:00 Duration: 11 days 12 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP061960 FERNANDA, Start: 1960-09-03 00:00:00 End: 1960-09-08 12:00:00 Duration: 5 days 12 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP071960 HYACINTH, Start: 1960-10-21 12:00:00 End: 1960-10-23 12:00:00 Duration: 2 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP011961 IVA, Start: 1961-06-09 12:00:00 End: 1961-06-12 00:00:00 Duration: 2 days 12 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP021961 JOANNE, Start: 1961-07-10 12:00:00 End: 1961-07-12 12:00:00 Duration: 2 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP031961 KATHLEEN, Start: 1961-07-14 12:00:00 End: 1961-07-16 00:00:00 Duration: 1 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP041961 LIZA, Start: 1961-07-15 00:00:00 End: 1961-07-19 12:00:00 Duration: 4 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP051961 NAOMI, Start: 1961-08-04 00:00:00 End: 1961-08-05 12:00:00 Duration: 1 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP061961 ORLA, Start: 1961-09-06 12:00:00 End: 1961-09-11 00:00:00 Duration: 4 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP071961 PAULINE, Start: 1961-10-03 00:00:00 End: 1961-10-04 00:00:00 Duration: 1 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP081961 REBECCA, Start: 1961-10-03 12:00:00 End: 1961-10-04 12:00:00 Duration: 1 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP101961 TARA, Start: 1961-11-10 00:00:00 End: 1961-11-12 12:00:00 Duration: 2 days 12 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP011962 VALERIE, Start: 1962-06-24 00:00:00 End: 1962-06-26 00:00:00 Duration: 2 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP021962 WILLA, Start: 1962-07-08 00:00:00 End: 1962-07-10 12:00:00 Duration: 2 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP031962 AVA, Start: 1962-08-16 12:00:00 End: 1962-08-20 00:00:00 Duration: 3 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP041962 UNNAMED, Start: 1962-08-20 12:00:00 End: 1962-08-22 00:00:00 Duration: 1 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP051962 UNNAMED, Start: 1962-08-29 00:00:00 End: 1962-09-02 00:00:00 Duration: 4 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP061962 BERNICE, Start: 1962-09-02 00:00:00 End: 1962-09-06 12:00:00 Duration: 4 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP071962 CLAUDIA, Start: 1962-09-20 00:00:00 End: 1962-09-24 12:00:00 Duration: 4 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP081962 UNNAMED, Start: 1962-09-26 00:00:00 End: 1962-09-30 12:00:00 Duration: 4 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP091962 DOREEN, Start: 1962-10-01 00:00:00 End: 1962-10-05 00:00:00 Duration: 4 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP011963 EMILY, Start: 1963-06-29 00:00:00 End: 1963-06-30 12:00:00 Duration: 1 days 12 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP021963 FLORENCE, Start: 1963-07-14 12:00:00 End: 1963-07-17 12:00:00 Duration: 3 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP031963 GLENDA, Start: 1963-07-19 12:00:00 End: 1963-07-21 12:00:00 Duration: 2 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
CP011963 UNNAMED, Start: 1963-08-02 00:00:00 End: 1963-08-08 12:00:00 Duration: 6 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP041963 JEN-KATH, Start: 1963-09-09 00:00:00 End: 1963-09-18 12:00:00 Duration: 9 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP051963 IRAH, Start: 1963-09-12 00:00:00 End: 1963-09-21 00:00:00 Duration: 9 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP061963 LILLIAN, Start: 1963-09-24 12:00:00 End: 1963-09-29 00:00:00 Duration: 4 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP071963 MONA, Start: 1963-10-17 12:00:00 End: 1963-10-19 00:00:00 Duration: 1 days 12 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP011964 NATALIE, Start: 1964-07-06 00:00:00 End: 1964-07-08 00:00:00 Duration: 2 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP021964 ODESSA, Start: 1964-07-15 00:00:00 End: 1964-07-19 12:00:00 Duration: 4 days 12 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP031964 PRUDENCE, Start: 1964-07-20 00:00:00 End: 1964-07-24 12:00:00 Duration: 4 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP041964 ROSALYN, Start: 1964-08-21 00:00:00 End: 1964-08-22 12:00:00 Duration: 1 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP051964 TILLIE, Start: 1964-09-07 00:00:00 End: 1964-09-09 00:00:00 Duration: 2 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP011965 VICTORIA, Start: 1965-06-04 00:00:00 End: 1965-06-07 12:00:00 Duration: 3 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP021965 WALLIE, Start: 1965-06-17 00:00:00 End: 1965-06-18 12:00:00 Duration: 1 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP031965 AVA, Start: 1965-06-29 00:00:00 End: 1965-07-05 00:00:00 Duration: 6 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP041965 BERNICE, Start: 1965-06-30 12:00:00 End: 1965-07-08 00:00:00 Duration: 7 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP051965 CLAUDIA, Start: 1965-08-07 12:00:00 End: 1965-08-11 12:00:00 Duration: 4 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP061965 DOREEN, Start: 1965-08-21 00:00:00 End: 1965-08-31 00:00:00 Duration: 10 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP071965 EMILY, Start: 1965-08-30 00:00:00 End: 1965-09-06 12:00:00 Duration: 7 days 12 hours, Max Wind: 80 knots, Min Pressure: N/A mb, Landfalls: 0
EP081965 FLORENCE, Start: 1965-09-08 00:00:00 End: 1965-09-15 12:00:00 Duration: 7 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP091965 GLENDA, Start: 1965-09-13 12:00:00 End: 1965-09-22 12:00:00 Duration: 9 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP101965 HAZEL, Start: 1965-09-24 00:00:00 End: 1965-09-27 00:00:00 Duration: 3 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP011966 ADELE, Start: 1966-06-20 00:00:00 End: 1966-06-24 12:00:00 Duration: 4 days 12 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP021966 BLANCA, Start: 1966-08-03 00:00:00 End: 1966-08-12 00:00:00 Duration: 9 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP031966 CONNIE, Start: 1966-08-08 00:00:00 End: 1966-08-17 12:00:00 Duration: 9 days 12 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP041966 DOLORES, Start: 1966-08-16 12:00:00 End: 1966-08-25 18:00:00 Duration: 9 days 6 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP051966 EILEEN, Start: 1966-08-23 00:00:00 End: 1966-08-29 00:00:00 Duration: 6 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP061966 FRANCESCA, Start: 1966-09-06 00:00:00 End: 1966-09-16 12:00:00 Duration: 10 days 12 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP071966 GRETCHEN, Start: 1966-09-08 00:00:00 End: 1966-09-11 12:00:00 Duration: 3 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP081966 HELGA, Start: 1966-09-09 12:00:00 End: 1966-09-17 12:00:00 Duration: 8 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP091966 IONE, Start: 1966-09-11 00:00:00 End: 1966-09-13 12:00:00 Duration: 2 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP101966 JOYCE, Start: 1966-09-15 00:00:00 End: 1966-09-20 12:00:00 Duration: 5 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP111966 KIRSTEN, Start: 1966-09-26 00:00:00 End: 1966-09-29 12:00:00 Duration: 3 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP121966 LORRAINE, Start: 1966-10-04 00:00:00 End: 1966-10-05 12:00:00 Duration: 1 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP131966 MAGGIE, Start: 1966-10-16 12:00:00 End: 1966-10-19 12:00:00 Duration: 3 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP011967 AGATHA, Start: 1967-06-07 12:00:00 End: 1967-06-10 12:00:00 Duration: 3 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP021967 BRIDGET, Start: 1967-06-16 00:00:00 End: 1967-06-16 18:00:00 Duration: 0 days 18 hours, Max Wind: 40 knots, Min Pressure: N/A mb, Landfalls: 0
EP031967 CARLOTTA, Start: 1967-06-23 00:00:00 End: 1967-06-26 12:00:00 Duration: 3 days 12 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP041967 DENISE, Start: 1967-07-06 00:00:00 End: 1967-07-18 00:00:00 Duration: 12 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP051967 ELEANOR, Start: 1967-07-13 00:00:00 End: 1967-07-22 00:00:00 Duration: 9 days 0 hours, Max Wind: 55 knots, Min Pressure: N/A mb, Landfalls: 0
EP061967 FRANCENE, Start: 1967-07-24 00:00:00 End: 1967-07-27 12:00:00 Duration: 3 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP071967 GEORGETTE, Start: 1967-07-25 00:00:00 End: 1967-07-30 00:00:00 Duration: 5 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP081967 ILSA, Start: 1967-08-12 00:00:00 End: 1967-08-18 00:00:00 Duration: 6 days 0 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
EP091967 JEWEL, Start: 1967-08-18 00:00:00 End: 1967-08-22 00:00:00 Duration: 4 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP101967 KATRINA, Start: 1967-08-30 00:00:00 End: 1967-09-03 00:00:00 Duration: 4 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP111967 LILY, Start: 1967-09-05 00:00:00 End: 1967-09-11 12:00:00 Duration: 6 days 12 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
CP011967 SARAH, Start: 1967-09-09 00:00:00 End: 1967-09-22 00:00:00 Duration: 13 days 0 hours, Max Wind: 130 knots, Min Pressure: 933 mb, Landfalls: 0
EP121967 MONICA, Start: 1967-09-13 06:00:00 End: 1967-09-20 12:00:00 Duration: 7 days 6 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
EP131967 NANETTE, Start: 1967-09-13 12:00:00 End: 1967-09-21 12:00:00 Duration: 8 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP141967 OLIVIA, Start: 1967-10-06 00:00:00 End: 1967-10-15 00:00:00 Duration: 9 days 0 hours, Max Wind: 110 knots, Min Pressure: N/A mb, Landfalls: 0
EP151967 PRISCILLA, Start: 1967-10-14 00:00:00 End: 1967-10-20 12:00:00 Duration: 6 days 12 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP161967 RAMONA, Start: 1967-10-21 00:00:00 End: 1967-11-03 12:00:00 Duration: 13 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP011968 ANNETTE, Start: 1968-06-20 12:00:00 End: 1968-06-22 00:00:00 Duration: 1 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP021968 BONNY, Start: 1968-07-04 00:00:00 End: 1968-07-09 12:00:00 Duration: 5 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP031968 CELESTE, Start: 1968-07-15 00:00:00 End: 1968-07-21 12:00:00 Duration: 6 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP041968 DIANA, Start: 1968-07-21 00:00:00 End: 1968-07-26 12:00:00 Duration: 5 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP051968 ESTELLE, Start: 1968-07-23 12:00:00 End: 1968-07-31 12:00:00 Duration: 8 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP061968 FERNANDA, Start: 1968-08-05 00:00:00 End: 1968-08-15 00:00:00 Duration: 10 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP071968 GWEN, Start: 1968-08-06 00:00:00 End: 1968-08-09 12:00:00 Duration: 3 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP081968 HYACINTH, Start: 1968-08-17 00:00:00 End: 1968-08-21 12:00:00 Duration: 4 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP091968 IVA, Start: 1968-08-21 00:00:00 End: 1968-08-26 00:00:00 Duration: 5 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP101968 JOANNE, Start: 1968-08-21 00:00:00 End: 1968-08-28 00:00:00 Duration: 7 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP111968 KATHLEEN, Start: 1968-08-24 00:00:00 End: 1968-09-03 00:00:00 Duration: 10 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP121968 LIZA, Start: 1968-08-28 00:00:00 End: 1968-09-06 00:00:00 Duration: 9 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP131968 MADELINE, Start: 1968-08-29 00:00:00 End: 1968-08-30 12:00:00 Duration: 1 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP141968 NAOMI, Start: 1968-09-09 00:00:00 End: 1968-09-13 12:00:00 Duration: 4 days 12 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP151968 ORLA, Start: 1968-09-22 00:00:00 End: 1968-09-30 12:00:00 Duration: 8 days 12 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
EP161968 PAULINE, Start: 1968-09-26 00:00:00 End: 1968-10-03 12:00:00 Duration: 7 days 12 hours, Max Wind: 75 knots, Min Pressure: 1008 mb, Landfalls: 0
EP171968 REBECCA, Start: 1968-10-06 00:00:00 End: 1968-10-11 00:00:00 Duration: 5 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP181968 SIMONE, Start: 1968-10-18 18:00:00 End: 1968-10-19 12:00:00 Duration: 0 days 18 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP191968 TARA, Start: 1968-10-20 12:00:00 End: 1968-10-28 12:00:00 Duration: 8 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP011969 AVA, Start: 1969-07-01 18:00:00 End: 1969-07-08 12:00:00 Duration: 6 days 18 hours, Max Wind: 45 knots, Min Pressure: 999 mb, Landfalls: 0
EP021969 BERNICE, Start: 1969-07-09 00:00:00 End: 1969-07-17 00:00:00 Duration: 8 days 0 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP031969 CLAUDIA, Start: 1969-07-22 00:00:00 End: 1969-07-23 12:00:00 Duration: 1 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP041969 DOREEN, Start: 1969-08-04 00:00:00 End: 1969-08-09 12:00:00 Duration: 5 days 12 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP051969 EMILY, Start: 1969-08-23 00:00:00 End: 1969-08-24 12:00:00 Duration: 1 days 12 hours, Max Wind: 55 knots, Min Pressure: N/A mb, Landfalls: 0
EP061969 FLORENCE, Start: 1969-09-02 00:00:00 End: 1969-09-07 12:00:00 Duration: 5 days 12 hours, Max Wind: 60 knots, Min Pressure: 997 mb, Landfalls: 0
EP071969 GLENDA, Start: 1969-09-08 00:00:00 End: 1969-09-12 00:00:00 Duration: 4 days 0 hours, Max Wind: 65 knots, Min Pressure: 993 mb, Landfalls: 0
EP081969 HEATHER, Start: 1969-09-19 00:00:00 End: 1969-09-25 12:00:00 Duration: 6 days 12 hours, Max Wind: 55 knots, Min Pressure: N/A mb, Landfalls: 0
EP091969 IRAH, Start: 1969-09-30 00:00:00 End: 1969-10-03 12:00:00 Duration: 3 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP101969 JENNIFER, Start: 1969-10-09 00:00:00 End: 1969-10-12 12:00:00 Duration: 3 days 12 hours, Max Wind: 65 knots, Min Pressure: N/A mb, Landfalls: 0
EP011970 ADELE, Start: 1970-05-30 12:00:00 End: 1970-06-07 00:00:00 Duration: 7 days 12 hours, Max Wind: 75 knots, Min Pressure: N/A mb, Landfalls: 0
EP021970 BLANCA, Start: 1970-06-10 00:00:00 End: 1970-06-12 12:00:00 Duration: 2 days 12 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
EP031970 CONNIE, Start: 1970-06-17 12:00:00 End: 1970-06-21 12:00:00 Duration: 4 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP041970 EILEEN, Start: 1970-06-26 12:00:00 End: 1970-06-30 00:00:00 Duration: 3 days 12 hours, Max Wind: 40 knots, Min Pressure: N/A mb, Landfalls: 0
EP051970 FRANCESCA, Start: 1970-07-01 12:00:00 End: 1970-07-10 00:00:00 Duration: 8 days 12 hours, Max Wind: 85 knots, Min Pressure: 991 mb, Landfalls: 0
EP061970 GRETCHEN, Start: 1970-07-14 12:00:00 End: 1970-07-21 12:00:00 Duration: 7 days 0 hours, Max Wind: 45 knots, Min Pressure: 1009 mb, Landfalls: 0
EP071970 HELGA, Start: 1970-07-16 12:00:00 End: 1970-07-20 00:00:00 Duration: 3 days 12 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
EP081970 IONE-2, Start: 1970-07-22 12:00:00 End: 1970-07-26 12:00:00 Duration: 4 days 0 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP091970 IONE-1, Start: 1970-07-24 00:00:00 End: 1970-07-25 00:00:00 Duration: 1 days 0 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
EP101970 JOYCE, Start: 1970-07-29 12:00:00 End: 1970-08-04 12:00:00 Duration: 6 days 0 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
EP111970 KRISTEN, Start: 1970-08-05 00:00:00 End: 1970-08-08 12:00:00 Duration: 3 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP121970 LORRAINE, Start: 1970-08-16 00:00:00 End: 1970-08-27 12:00:00 Duration: 11 days 12 hours, Max Wind: 85 knots, Min Pressure: 963 mb, Landfalls: 0
EP131970 MAGGIE, Start: 1970-08-20 12:00:00 End: 1970-08-27 00:00:00 Duration: 6 days 12 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
EP141970 NORMA, Start: 1970-08-31 00:00:00 End: 1970-09-06 00:00:00 Duration: 6 days 0 hours, Max Wind: 50 knots, Min Pressure: 992 mb, Landfalls: 0
CP011970 DOT, Start: 1970-09-01 00:00:00 End: 1970-09-04 06:00:00 Duration: 3 days 6 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
EP151970 ORLENE, Start: 1970-09-07 00:00:00 End: 1970-09-09 00:00:00 Duration: 2 days 0 hours, Max Wind: 55 knots, Min Pressure: N/A mb, Landfalls: 0
EP161970 PATRICIA, Start: 1970-10-04 00:00:00 End: 1970-10-11 12:00:00 Duration: 7 days 12 hours, Max Wind: 95 knots, Min Pressure: 972 mb, Landfalls: 0
EP171970 ROSALIE, Start: 1970-10-21 00:00:00 End: 1970-10-23 12:00:00 Duration: 2 days 12 hours, Max Wind: 45 knots, Min Pressure: 1006 mb, Landfalls: 0
EP181970 SELMA, Start: 1970-11-01 12:00:00 End: 1970-11-08 12:00:00 Duration: 7 days 0 hours, Max Wind: 60 knots, Min Pressure: 995 mb, Landfalls: 0
